GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-03-08,21900949,Final,1610612738,1610612760,2019,1610612738,104.0,"0,41","0,79","0,35",22.0,46.0,1610612760,105.0,"0,443","0,735","0,4",16.0,39.0,0
2020-03-08,21900950,Final,1610612756,1610612749,2019,1610612756,140.0,"0,55","0,87","0,44",30.0,47.0,1610612749,131.0,"0,537","0,762","0,394",23.0,36.0,1
2020-03-08,21900951,Final,1610612764,1610612748,2019,1610612764,89.0,"0,33","0,86","0,40",19.0,29.0,1610612748,100.0,"0,485","0,821","0,464",21.0,46.0,0
2020-03-08,21900952,Final,1610612742,1610612754,2019,1610612742,109.0,"0,43","0,68","0,33",19.0,42.0,1610612754,112.0,"0,523","0,667","0,348",23.0,47.0,0
2020-03-08,21900953,Final,1610612745,1610612753,2019,1610612745,106.0,"0,44","0,76","0,28",21.0,38.0,1610612753,126.0,"0,484","0,806","0,448",21.0,49.0,0
2020-03-08,21900954,Final,1610612739,1610612759,2019,1610612739,132.0,"0,46","0,73","0,38",26.0,60.0,1610612759,129.0,"0,439","0,917","0,385",20.0,44.0,1
2020-03-08,21900955,Final,1610612752,1610612765,2019,1610612752,96.0,"0,44","0,72","0,32",15.0,51.0,1610612765,84.0,"0,363","0,682","0,289",21.0,35.0,1
2020-03-08,21900956,Final,1610612758,1610612761,2019,1610612758,113.0,"0,47","0,91","0,26",24.0,50.0,1610612761,118.0,"0,476","0,778","0,396",27.0,36.0,0
2020-03-07,21900940,Final,1610612766,1610612745,2019,1610612766,108.0,"0,53","0,76","0,47",29.0,30.0,1610612745,99.0,"0,461","0,7","0,333",22.0,42.0,1
2020-03-07,21900941,Final,1610612765,1610612762,2019,1610612765,105.0,"0,47","0,73","0,30",24.0,38.0,1610612762,111.0,"0,519","0,75","0,303",17.0,40.0,0
